"variable","category","N.x","Perc.x","mean.x","sd.x","N.y","Perc.y","mean.y","sd.y","chisq.pval","ttest.pval"
"Overall",NA,1095,NA,NA,NA,686,NA,NA,NA,NA,NA
"cont1",NA,1073,NA,22.1616868592731,1.34632690151093,671,NA,22.1722652757079,1.33608469924388,NA,0.872592081159987
"cont2",NA,1038,NA,28.2314354527938,1.53448283504463,652,NA,28.2352760736196,1.46915477247255,NA,0.958998470164014
"cont3",NA,1008,NA,13.1390178571429,1.5337534126977,637,NA,13.0931397174254,1.59329418284567,NA,0.563941831974959
"fac1","0",523,0.477625570776256,NA,NA,320,0.466472303206997,NA,NA,0.681805522009727,NA
"fac1","1",572,0.522374429223744,NA,NA,366,0.533527696793003,NA,NA,0.681805522009727,NA
"fac2","0",449,0.410045662100457,NA,NA,292,0.425655976676385,NA,NA,0.996119228485782,NA
"fac2","1",279,0.254794520547945,NA,NA,180,0.262390670553936,NA,NA,0.996119228485782,NA
"fac3","0",912,0.832876712328767,NA,NA,581,0.846938775510204,NA,NA,0.365337858764706,NA
"fac3","1",130,0.118721461187215,NA,NA,71,0.103498542274052,NA,NA,0.365337858764706,NA
